No.,Time,Source,Destination,Protocol,Length,Info
1,1.9102920000004815,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.9103790000008303,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175345245 Ack=9649587 Win=65535 Len=0
1,1.9214850000007573,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.9216370000003735,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175345245 Ack=9650123 Win=65535 Len=0
1,2.1271700000006604,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,2.1686080000008587,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=175484721 Ack=9607213 Win=65535 Len=0
1,2.1881600000006074,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,2.188234000000193,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=175484721 Ack=9607749 Win=65535 Len=0
1,2.1887140000008003,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,2.1889390000005733,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9607749 Ack=175485257 Win=65535 Len=0
1,2.6410560000003898,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,2.6414550000008603,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,2.6415670000005775,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175345781 Ack=9650659 Win=65535 Len=0
1,2.7506520000006276,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,2.757629000000634,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,2.7578050000001895,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175485793 Win=65535 Len=0
1,2.769228000000112,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,2.7693410000001677,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175489863 Ack=9608285 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,2.7693890000000465,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175487253 Win=65535 Len=0
1,2.7693990000007034,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175488713 Win=65535 Len=0
1,2.769404000000577,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175489863 Win=65535 Len=0
1,2.7694090000004508,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175491323 Win=65535 Len=0
1,2.7694140000003244,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175492783 Win=65535 Len=0
1,2.769458000000668,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,2.7695280000007187,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175493933 Ack=9608285 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,2.769571000000724,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175493933 Win=65535 Len=0
1,2.7695790000007037,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175495393 Win=65535 Len=0
1,2.7695840000005774,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175496853 Win=65535 Len=0
1,2.7696190000006027,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,2.769686000000547,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175498003 Ack=9608285 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,2.7697240000006786,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175498003 Win=65535 Len=0
1,2.76973100000032,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175499463 Win=65535 Len=0
1,2.7697360000001936,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175500923 Win=65535 Len=0
1,2.7697670000006838,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,2.7698290000007546,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175502073 Win=65535 Len=0
1,2.7698700000000827,10.0.2.15,62.210.85.178,TLSv1.2,332,Application Data
1,2.769907000000785,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175502351 Win=65535 Len=0
1,2.7699720000000525,10.0.2.15,62.210.85.178,TLSv1.2,3868,Application Data
1,2.77001300000029,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175503811 Win=65535 Len=0
1,2.770020000000841,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175505271 Win=65535 Len=0
1,2.7700250000007145,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175506165 Win=65535 Len=0
1,2.7700720000002548,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,2.77011500000026,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175507625 Win=65535 Len=0
1,2.7701220000008107,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175509085 Win=65535 Len=0
1,2.770126000000346,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175510235 Win=65535 Len=0
1,2.7701700000006895,10.0.2.15,62.210.85.178,TLSv1.2,3030,Application Data
1,2.77020900000025,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175511695 Win=65535 Len=0
1,2.7702160000008007,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175513155 Win=65535 Len=0
1,2.7702210000006744,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175513211 Win=65535 Len=0
1,2.779412000000775,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,2.779492000000573,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175517281 Ack=9608285 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,2.779529000000366,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175514671 Win=65535 Len=0
1,2.779537000000346,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175516131 Win=65535 Len=0
1,2.7795420000002196,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175517281 Win=65535 Len=0
1,2.779546000000664,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175518741 Win=65535 Len=0
1,2.779551000000538,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175520201 Win=65535 Len=0
1,2.7795900000000984,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,2.7796580000003814,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175521351 Ack=9608285 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,2.779696000000513,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175521351 Win=65535 Len=0
1,2.779731000000538,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,2.7797660000005635,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175522811 Win=65535 Len=0
1,2.7797720000007757,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175524271 Win=65535 Len=0
1,2.7797770000006494,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175525421 Win=65535 Len=0
1,2.779822000000422,10.0.2.15,62.210.85.178,TLSv1.2,2838,Application Data
1,2.779916000000412,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175526881 Win=65535 Len=0
1,2.7799280000008366,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9608285 Ack=175528205 Win=65535 Len=0
1,2.857531000000563,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,2.8832370000000083,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175346317 Ack=9650659 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,2.8833700000004683,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175349213 Win=65535 Len=0
1,2.8990850000000137,54.93.77.70,10.0.2.15,TLSv1.2,778,Application Data
1,2.904856000000109,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175349937 Ack=9650659 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,2.9049250000007305,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175352833 Win=65535 Len=0
1,2.9208350000008068,54.93.77.70,10.0.2.15,TLSv1.2,778,Application Data
1,2.923866000000089,54.93.77.70,10.0.2.15,TLSv1.2,7294,Application Data
1,2.9239320000006046,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175360797 Win=65535 Len=0
1,2.924517000000378,54.93.77.70,10.0.2.15,TLSv1.2,4398,Application Data [TCP segment of a reassembled PDU]
1,2.9245590000000448,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175365141 Win=65535 Len=0
1,2.940437000000202,54.93.77.70,10.0.2.15,TLSv1.2,1408,"Application Data, Application Data"
1,2.9464280000001963,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175366495 Ack=9650659 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,2.946476000000075,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175369391 Win=65535 Len=0
1,2.9622610000005807,54.93.77.70,10.0.2.15,TLSv1.2,264,Application Data
1,2.9654669999999896,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175369601 Ack=9650659 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,2.9655140000004394,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175372497 Win=65535 Len=0
1,2.974193000000014,54.93.77.70,10.0.2.15,TLSv1.2,4398,"Application Data, Application Data"
1,2.9743360000002212,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9650659 Ack=175376841 Win=65535 Len=0
1,2.974520000000666,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,2.974593000000823,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175376841 Ack=9651195 Win=65535 Len=0
1,2.98446899999999,54.93.77.70,10.0.2.15,TLSv1.2,1104,Application Data
1,3.0141380000004574,54.93.77.70,10.0.2.15,TLSv1.2,7294,Application Data
1,3.01423000000068,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9651195 Ack=175385131 Win=65535 Len=0
1,3.030721000000085,54.93.77.70,10.0.2.15,TLSv1.2,2950,Application Data [TCP segment of a reassembled PDU]
1,3.0307700000003024,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9651195 Ack=175388027 Win=65535 Len=0
1,3.0326100000002043,54.93.77.70,10.0.2.15,TLSv1.2,778,Application Data
1,3.035088999999971,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,3.0352410000004966,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175388751 Ack=9651731 Win=65535 Len=0
1,3.102461000000403,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,3.144791000000623,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=175528205 Ack=9608821 Win=65535 Len=0
1,3.145140999999967,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,3.1451910000005228,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=175528205 Ack=9609357 Win=65535 Len=0
1,3.1456600000001345,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,3.1457530000006955,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609357 Ack=175528741 Win=65535 Len=0
1,3.239473000000544,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,3.2398290000000998,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,3.2399450000002616,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175389287 Ack=9652267 Win=65535 Len=0
1,3.3873300000004747,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,3.3920700000007855,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,3.3922529999999824,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175529277 Win=65535 Len=0
1,3.405202000000827,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,3.40532500000063,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175533347 Ack=9609893 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,3.4053710000007413,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175530737 Win=65535 Len=0
1,3.4053820000008272,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175532197 Win=65535 Len=0
1,3.405387000000701,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175533347 Win=65535 Len=0
1,3.4053920000005746,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175534807 Win=65535 Len=0
1,3.40539600000011,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175536267 Win=65535 Len=0
1,3.4054480000004332,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,3.4055160000007163,10.0.2.15,62.210.85.178,TCP,1514,35978  >  9001 [ACK] Seq=175537417 Ack=9609893 Win=65535 Len=1460 [TCP segment of a reassembled PDU]
1,3.405553000000509,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175537417 Win=65535 Len=0
1,3.4055600000001505,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175538877 Win=65535 Len=0
1,3.405593000000408,10.0.2.15,62.210.85.178,TLSv1.2,1314,Application Data
1,3.40567800000008,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9609893 Ack=175540137 Win=65535 Len=0
1,3.508739000000787,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,3.5378860000000714,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175389823 Ack=9652267 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,3.5379890000003797,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9652267 Ack=175392719 Win=65535 Len=0
1,3.5385430000005726,54.93.77.70,10.0.2.15,TLSv1.2,4398,"Application Data, Application Data"
1,3.5386050000006435,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9652267 Ack=175397063 Win=65535 Len=0
1,3.631774000000405,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,3.6412430000000313,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175397599 Ack=9652267 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,3.6413110000003144,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9652267 Ack=175400495 Win=65535 Len=0
1,3.6579680000004373,54.93.77.70,10.0.2.15,TLSv1.2,264,Application Data
1,3.6582580000003873,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,3.658382999999958,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175400705 Ack=9652803 Win=65535 Len=0
