No.,Time,Source,Destination,Protocol,Length,Info
1,0.13412800000060088,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,0.13429100000030303,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175325001 Ack=9646415 Win=65535 Len=0
1,0.2565180000001419,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,0.25681299999996554,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.2569180000000415,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9604041 Ack=175464991 Win=65535 Len=0
1,0.7969300000004296,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,0.7974370000001727,10.0.2.15,54.93.77.70,TLSv1.2,1618,Application Data
1,0.7975930000002336,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175325537 Ack=9647979 Win=65535 Len=0
1,0.924579000000449,62.210.85.178,10.0.2.15,TLSv1.2,1618,Application Data
1,0.9247140000006766,10.0.2.15,62.210.85.178,TCP,54,35978  >  9001 [ACK] Seq=175464991 Ack=9605605 Win=65535 Len=0
1,0.9443280000004961,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,0.9445070000001579,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9605605 Ack=175465527 Win=65535 Len=0
1,0.9558560000004945,10.0.2.15,62.210.85.178,TLSv1.2,1618,Application Data
1,0.9559990000007019,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9605605 Ack=175466987 Win=65535 Len=0
1,0.9560190000001967,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9605605 Ack=175467091 Win=65535 Len=0
1,1.0672940000004019,54.93.77.70,10.0.2.15,TLSv1.2,2132,Application Data
1,1.0674660000004224,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9647979 Ack=175327615 Win=65535 Len=0
1,1.0706470000004629,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.0708480000002965,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175327615 Ack=9648515 Win=65535 Len=0
1,1.410957000000053,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.411261000000195,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.4113780000006955,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606141 Ack=175467627 Win=65535 Len=0
1,1.521711000000323,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.522091000000728,10.0.2.15,54.93.77.70,TLSv1.2,590,Application Data
1,1.5221950000004654,54.93.77.70,10.0.2.15,TCP,60,9001  >  34692 [ACK] Seq=175328151 Ack=9649051 Win=65535 Len=0
1,1.7177750000000742,62.210.85.178,10.0.2.15,TLSv1.2,590,Application Data
1,1.7211650000008376,10.0.2.15,62.210.85.178,TLSv1.2,590,Application Data
1,1.7213260000007722,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175468163 Win=65535 Len=0
1,1.7332470000001194,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.733367000000726,10.0.2.15,62.210.85.178,TCP,2974,35978  >  9001 [ACK] Seq=175472233 Ack=9606677 Win=65535 Len=2920 [TCP segment of a reassembled PDU]
1,1.7334150000006048,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175469623 Win=65535 Len=0
1,1.7334290000007968,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175471083 Win=65535 Len=0
1,1.7334340000006705,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175472233 Win=65535 Len=0
1,1.7334380000002056,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175473693 Win=65535 Len=0
1,1.7334420000006503,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175475153 Win=65535 Len=0
1,1.7334770000006756,10.0.2.15,62.210.85.178,TLSv1.2,1204,Application Data
1,1.733516000000236,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175476303 Win=65535 Len=0
1,1.7335620000003473,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.7336010000008173,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175477763 Win=65535 Len=0
1,1.7336100000002261,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175479223 Win=65535 Len=0
1,1.7336140000006708,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175480373 Win=65535 Len=0
1,1.7336540000005698,10.0.2.15,62.210.85.178,TLSv1.2,4124,Application Data
1,1.7336920000007012,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175481833 Win=65535 Len=0
1,1.733700000000681,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175483293 Win=65535 Len=0
1,1.7337820000002466,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175484443 Win=65535 Len=0
1,1.733817000000272,10.0.2.15,62.210.85.178,TLSv1.2,332,Application Data
1,1.7338530000006358,62.210.85.178,10.0.2.15,TCP,60,9001  >  35978 [ACK] Seq=9606677 Ack=175484721 Win=65535 Len=0
1,1.8422160000000076,54.93.77.70,10.0.2.15,TLSv1.2,3674,Application Data
1,1.842358000000786,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9649051 Ack=175331771 Win=65535 Len=0
1,1.8585700000003271,54.93.77.70,10.0.2.15,TLSv1.2,590,Application Data
1,1.8747380000004341,54.93.77.70,10.0.2.15,TLSv1.2,5846,Application Data
1,1.8748090000008233,54.93.77.70,10.0.2.15,TLSv1.2,2950,Application Data [TCP segment of a reassembled PDU]
1,1.874919000000773,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9649051 Ack=175340995 Win=65535 Len=0
1,1.8907490000001417,54.93.77.70,10.0.2.15,TLSv1.2,1198,Application Data
1,1.893380000000434,54.93.77.70,10.0.2.15,TCP,2950,"9001  >  34692 [PSH, ACK] Seq=175342139 Ack=9649051 Win=65535 Len=2896 [TCP segment of a reassembled PDU]"
1,1.8934260000005452,10.0.2.15,54.93.77.70,TCP,54,34692  >  9001 [ACK] Seq=9649051 Ack=175345035 Win=65535 Len=0
1,1.9100860000007742,54.93.77.70,10.0.2.15,TLSv1.2,264,Application Data
